,name,party,photoUrl,office,office_city,state,phone_number,website,email,twitter,facebook
0,Tommy Tuberville,Republican Party,https://bioguide.congress.gov/bioguide/photo/T/T000278.jpg,U.S. Senator,Washington,Alabama,(202) 224-4124,https://tuberville.senate.gov/,,SenTuberville,SenatorTuberville
1,Richard C. Shelby,Republican Party,http://bioguide.congress.gov/bioguide/photo/S/S000320.jpg,U.S. Senator,Washington,Alabama,(202) 224-5744,https://www.shelby.senate.gov/,,SenShelby,RichardShelby
2,Terri A. Sewell,Democratic Party,http://sewell.house.gov/sites/sewell.house.gov/files/documents/Final%20Headshot.JPG,U.S. Representative,Washington,Alabama,(202) 225-2665,https://sewell.house.gov/,,RepTerriSewell,RepSewell
3,Gary J. Palmer,Republican Party,https://palmer.house.gov/sites/palmer.house.gov/files/styles/congress_image_large/public/photos/Palmer%20Official%20Photo.jpg?itok=SLAV5ubg,U.S. Representative,Washington,Alabama,(202) 225-4921,https://palmer.house.gov/,,USRepGaryPalmer,CongressmanGaryPalmer
4,Jerry L. Carl,Republican Party,https://bioguide.congress.gov/bioguide/photo/C/C001054.jpg,U.S. Representative,Washington,Alabama,(202) 225-4931,https://carl.house.gov/,,RepJerryCarl,RepJerryCarl
5,Mike D. Rogers,Republican Party,http://bioguide.congress.gov/bioguide/photo/R/R000575.jpg,U.S. Representative,Washington,Alabama,(202) 225-3261,https://mikerogers.house.gov/,,RepMikeRogersAL,CongressmanMikeDRogers
6,Barry Moore,Republican Party,https://bioguide.congress.gov/bioguide/photo/M/M001212.jpg,U.S. Representative,Washington,Alabama,(202) 225-2901,https://barrymoore.house.gov/,,RepBarryMoore,RepBarryMoore
7,Mo Brooks,Republican Party,http://bioguide.congress.gov/bioguide/photo/B/B001274.jpg,U.S. Representative,Washington,Alabama,(202) 225-4801,https://brooks.house.gov/,,RepMoBrooks,RepMoBrooks
8,Robert B. Aderholt,Republican Party,https://aderholt.house.gov/sites/aderholt.house.gov/files/documents/Aderholt%20Photo%202014.jpg,U.S. Representative,Washington,Alabama,(202) 225-4876,https://aderholt.house.gov/,,Robert_Aderholt,RobertAderholt
9,Kay Ivey,Republican Party,http://governor.alabama.gov/uploads/images/_size/Portrait.jpeg,Governor of Alabama,Montgomery,Alabama,(334) 242-7100,https://governor.alabama.gov/,constituent.services@governor.alabama.gov,GovernorKayIvey,KayIveyAL
10,Dan Sullivan,Republican Party,http://bioguide.congress.gov/bioguide/photo/S/S001198.jpg,U.S. Senator,Washington,Alaska,(202) 224-3004,https://www.sullivan.senate.gov/,,SenDanSullivan,SenDanSullivan
11,Lisa Murkowski,Republican Party,http://bioguide.congress.gov/bioguide/photo/M/M001153.jpg,U.S. Senator,Washington,Alaska,(202) 224-6665,https://www.murkowski.senate.gov/,,lisamurkowski,SenLisaMurkowski
12,Don Young,Republican Party,http://donyoung.house.gov/UploadedFiles/PressKit/DY-Official_Photo.jpg,U.S. Representative,Washington,Alaska,(202) 225-5765,https://donyoung.house.gov/,,repdonyoung,RepDonYoung
13,Mike Dunleavy,Republican Party,https://www.nga.org/wp-content/uploads/2019/01/mike-dunleavy-500px.jpg,Governor of Alaska,,Alaska,(907) 465-3500,https://gov.alaska.gov/,,GovDunleavy,GovDunleavy
14,Mark Kelly,Democratic Party,https://bioguide.congress.gov/bioguide/photo/K/K000377.jpg,U.S. Senator,Washington,Arizona,(202) 224-2235,https://www.kelly.senate.gov/,,SenMarkKelly,SenMarkKelly
15,Kyrsten Sinema,Democratic Party,https://bioguide.congress.gov/bioguide/photo/S/S001191.jpg,U.S. Senator,Washington,Arizona,(202) 224-4521,https://www.sinema.senate.gov/,contact@sinema.senate.gov,SenatorSinema,SenatorSinema
16,Greg Stanton,Democratic Party,https://bioguide.congress.gov/bioguide/photo/S/S001211.jpg,U.S. Representative,Washington,Arizona,(202) 225-9888,https://stanton.house.gov/,,repgregstanton,repgregstanton
17,Debbie Lesko,Republican Party,https://bioguide.congress.gov/bioguide/photo/L/L000589.jpg,U.S. Representative,Washington,Arizona,(202) 225-4576,https://lesko.house.gov/,,repdlesko,RepDebbieLesko
18,Andy Biggs,Republican Party,https://biggs.house.gov/sites/biggs.house.gov/files/wysiwyg_uploaded/congressman-andy-biggs.jpg,U.S. Representative,Washington,Arizona,(202) 225-2635,https://biggs.house.gov/,,RepAndyBiggsAZ,RepAndyBiggs
19,Paul A. Gosar,Republican Party,http://bioguide.congress.gov/bioguide/photo/G/G000565.jpg,U.S. Representative,Washington,Arizona,(202) 225-2315,https://gosar.house.gov/,,repgosar,repgosar
20,Ruben Gallego,Democratic Party,http://bioguide.congress.gov/bioguide/photo/G/G000574.jpg,U.S. Representative,Washington,Arizona,(202) 225-4065,https://rubengallego.house.gov/,,RepRubenGallego,RepRubenGallego
21,David Schweikert,Republican Party,http://bioguide.congress.gov/bioguide/photo/S/S001183.jpg,U.S. Representative,Washington,Arizona,(202) 225-2190,https://schweikert.house.gov/,,RepDavid,repdavidschweikert
22,Tom O'Halleran,Democratic Party,https://ohalleran.house.gov/sites/ohalleran.house.gov/files/styles/medium/public/wysiwyg_uploaded/2016-11-17_FAS_0246_1.jpg?itok=Ro0ep4-x,U.S. Representative,Washington,Arizona,(202) 225-3361,https://ohalleran.house.gov/,,RepOHalleran,repohalleran
23,Raúl Grijalva,Democratic Party,http://grijalva.house.gov//images/user_images/OfficialPortrait.jpg,U.S. Representative,Washington,Arizona,(202) 225-2435,https://grijalva.house.gov/,,repraulgrijalva,Rep.Grijalva
24,Ann Kirkpatrick,Democratic Party,https://bioguide.congress.gov/bioguide/photo/K/K000368.jpg,U.S. Representative,Washington,Arizona,(202) 225-2542,https://kirkpatrick.house.gov/,,RepKirkpatrick,RepKirkpatrick
25,Doug Ducey,Republican Party,http://www.azgovernor.gov/sites/default/files/styles/panopoly_image_half/public/governordougducey_0.jpg?itok=Q_wvQT7v,Governor of Arizona,Phoenix,Arizona,(602) 542-4331,https://azgovernor.gov/,engage@az.gov,dougducey,dougducey
26,Tom Cotton,Republican Party,http://bioguide.congress.gov/bioguide/photo/C/C001095.jpg,U.S. Senator,Washington,Arkansas,(202) 224-2353,https://www.cotton.senate.gov/,,SenTomCotton,SenatorTomCotton
27,John Boozman,Republican Party,http://bioguide.congress.gov/bioguide/photo/B/B001236.jpg,U.S. Senator,Washington,Arkansas,(202) 224-4843,https://www.boozman.senate.gov/,,JohnBoozman,JohnBoozman
28,Bruce Westerman,Republican Party,https://westerman.house.gov/sites/westerman.house.gov/files/wysiwyg_uploaded/westerman_official.jpg,U.S. Representative,Washington,Arkansas,(202) 225-3772,https://westerman.house.gov/,,RepWesterman,RepWesterman
29,Steve Womack,Republican Party,http://bioguide.congress.gov/bioguide/photo/W/W000809.jpg,U.S. Representative,Washington,Arkansas,(202) 225-4301,https://womack.house.gov/,,rep_stevewomack,RepSteveWomack
30,French Hill,Republican Party,https://hill.house.gov/sites/hill.house.gov/files/styles/congress_image_thumbnail/public/wysiwyg_uploaded/JFH-Official-Photo-114thCongress.png?itok=xogQDapG,U.S. Representative,Washington,Arkansas,(202) 225-2506,https://hill.house.gov/,,RepFrenchHill,RepFrenchHill
31,Rick Crawford,Republican Party,http://bioguide.congress.gov/bioguide/photo/C/C001087.jpg,U.S. Representative,Washington,Arkansas,(202) 225-4076,https://crawford.house.gov/,,RepRickCrawford,RepRickCrawford
32,Asa Hutchinson,Republican Party,http://governor.arkansas.gov/images/uploads/Governor_Hutchinson_Official_medium.jpg,Governor of Arkansas,Little Rock,Arkansas,(501) 682-2345,https://governor.arkansas.gov/,,AsaHutchinson,asaforarkansas
33,Dianne Feinstein,Democratic Party,http://bioguide.congress.gov/bioguide/photo/F/F000062.jpg,U.S. Senator,Washington,California,(202) 224-3841,https://www.feinstein.senate.gov/,,SenFeinstein,SenatorFeinstein
34,Alex Padilla,Democratic Party,https://bioguide.congress.gov/bioguide/photo/P/P000145.jpg,U.S. Senator,Washington,California,(202) 224-3553,https://www.padilla.senate.gov/,,SenAlexPadilla,SenAlexPadilla
35,Jared Huffman,Democratic Party,http://bioguide.congress.gov/bioguide/photo/H/H001068.jpg,U.S. Representative,Washington,California,(202) 225-5161,https://huffman.house.gov/,,RepHuffman,RepHuffman
36,Doug LaMalfa,Republican Party,http://bioguide.congress.gov/bioguide/photo/L/L000578.jpg,U.S. Representative,Washington,California,(202) 225-3076,https://lamalfa.house.gov/,,RepLaMalfa,RepLaMalfa
37,Tom McClintock,Republican Party,http://mcclintock.house.gov/sites/mcclintock.house.gov/files/wysiwyg_uploaded/McCPhoto.JPG,U.S. Representative,Washington,California,(202) 225-2511,https://mcclintock.house.gov/,,RepMcClintock,RepMcClintock
38,John Garamendi,Democratic Party,http://bioguide.congress.gov/bioguide/photo/G/G000559.jpg,U.S. Representative,Washington,California,(202) 225-1880,https://garamendi.house.gov/,,RepGaramendi,repgaramendi
39,Doris O. Matsui,Democratic Party,http://bioguide.congress.gov/bioguide/photo/M/M001163.jpg,U.S. Representative,Washington,California,(202) 225-7163,https://matsui.house.gov/,,dorismatsui,doris.matsui
40,Mike Thompson,Democratic Party,http://bioguide.congress.gov/bioguide/photo/T/T000460.jpg,U.S. Representative,Washington,California,(202) 225-3311,https://mikethompson.house.gov/,,RepThompson,RepMikeThompson
41,Jay Obernolte,Republican Party,https://bioguide.congress.gov/bioguide/photo/O/O000019.jpg,U.S. Representative,Washington,California,(202) 225-5861,https://obernolte.house.gov/,,JayObernolte,RepObernolte
42,Ami Bera,Democratic Party,https://bera.house.gov/sites/bera.house.gov/files/wysiwyg_uploaded/CAB_Portrait.jpg,U.S. Representative,Washington,California,(202) 225-5716,https://bera.house.gov/,,RepBera,RepAmiBera
43,Jerry McNerney,Democratic Party,http://mcnerney.house.gov/sites/mcnerney.house.gov/files/styles/congress_image_medium/public/wysiwyg_uploaded/McNerney%20Official%20Photo.jpg?itok=Wpa_51-y,U.S. Representative,Washington,California,(202) 225-1947,https://mcnerney.house.gov/,,RepMcNerney,jerrymcnerney
44,Mark DeSaulnier,Democratic Party,https://desaulnier.house.gov/sites/desaulnier.house.gov/files/styles/medium/public/wysiwyg_uploaded/MD%20Portrait.jpg?itok=S_BVifi6,U.S. Representative,Washington,California,(202) 225-2095,https://desaulnier.house.gov/,,RepDeSaulnier,RepMarkDeSaulnier
45,Josh Harder,Democratic Party,https://upload.wikimedia.org/wikipedia/commons/f/ff/Josh_Harder%2C_official_portrait%2C_116th_Congress.jpg,U.S. Representative,,California,(202) 225-4540,https://harder.house.gov/,,RepJoshHarder,RepJoshHarder
46,Barbara Lee,Democratic Party,http://bioguide.congress.gov/bioguide/photo/L/L000551.jpg,U.S. Representative,Washington,California,(202) 225-2661,https://lee.house.gov/,,repbarbaralee,RepBarbaraLee
47,Nancy Pelosi,Democratic Party,http://bioguide.congress.gov/bioguide/photo/P/P000197.jpg,U.S. Representative,Washington,California,(202) 225-4965,https://pelosi.house.gov/,,SpeakerPelosi,NancyPelosi
48,Eric Swalwell,Democratic Party,http://bioguide.congress.gov/bioguide/photo/S/S001193.jpg,U.S. Representative,Washington,California,(202) 225-5065,https://swalwell.house.gov/,,RepSwalwell,CongressmanEricSwalwell
49,Jackie Speier,Democratic Party,http://bioguide.congress.gov/bioguide/photo/S/S001175.jpg,U.S. Representative,Washington,California,(202) 225-3531,https://speier.house.gov/,,RepSpeier,JackieSpeier
50,Ro Khanna,Democratic Party,https://khanna.house.gov/sites/khanna.house.gov/files/styles/congress_image_thumbnail/public/featured_image/RepRoKhanna_CA17_hires.jpg?itok=Rb-0G6Ky,U.S. Representative,Washington,California,(202) 225-2631,https://khanna.house.gov/,,RepRoKhanna,RepRoKhanna
51,Jim Costa,Democratic Party,http://bioguide.congress.gov/bioguide/photo/C/C001059.jpg,U.S. Representative,Washington,California,(202) 225-3341,https://costa.house.gov/,,repjimcosta,RepJimCosta
52,Zoe Lofgren,Democratic Party,http://bioguide.congress.gov/bioguide/photo/L/L000397.jpg,U.S. Representative,Washington,California,(202) 225-3072,https://lofgren.house.gov/,,RepZoeLofgren,zoelofgren
53,Anna G. Eshoo,Democratic Party,http://eshoo.house.gov/wp-content/uploads/2014/07/Congresswoman_Anna_Eshoo-199x300.jpg,U.S. Representative,Washington,California,(202) 225-8104,https://eshoo.house.gov/,,RepAnnaEshoo,RepAnnaEshoo
54,Devin Nunes,Republican Party,http://bioguide.congress.gov/bioguide/photo/N/N000181.jpg,U.S. Representative,Washington,California,(202) 225-2523,https://nunes.house.gov/,,RepDevinNunes,Congressman-Devin-Nunes-376470350795
55,David G. Valadao,Republican Party,http://bioguide.congress.gov/bioguide/photo/V/V000129.jpg,U.S. Representative,Washington,California,(202) 225-4695,https://valadao.house.gov/,,repdavidvaladao,CongressmanDavidValadao
56,Salud O. Carbajal,Democratic Party,https://carbajal.house.gov/sites/carbajal.house.gov/themes/fortyeight_carbajal/logo.png,U.S. Representative,Washington,California,(202) 225-3601,https://carbajal.house.gov/,,RepCarbajal,repsaludcarbajal
57,Kevin McCarthy,Republican Party,http://bioguide.congress.gov/bioguide/photo/M/M001165.jpg,U.S. Representative,Washington,California,(202) 225-2915,https://kevinmccarthy.house.gov/,,GOPLeader,RepKevinMcCarthy
58,Julia Brownley,Democratic Party,http://bioguide.congress.gov/bioguide/photo/B/B001285.jpg,U.S. Representative,Washington,California,(202) 225-5811,https://juliabrownley.house.gov/,,RepBrownley,RepBrownley
59,Mike Garcia,Republican Party,,U.S. Representative,Washington,California,(202) 225-1956,https://mikegarcia.house.gov/,,repmikegarcia,RepMikeGarcia
60,Adam B. Schiff,Democratic Party,http://bioguide.congress.gov/bioguide/photo/S/S001150.jpg,U.S. Representative,Washington,California,(202) 225-4176,https://schiff.house.gov/,,RepAdamSchiff,RepAdamSchiff
61,Judy Chu,Democratic Party,http://bioguide.congress.gov/bioguide/photo/C/C001080.jpg,U.S. Representative,Washington,California,(202) 225-5464,https://chu.house.gov/,,RepJudyChu,RepJudyChu
62,Jimmy Panetta,Democratic Party,https://panetta.house.gov/sites/panetta.house.gov/files/wysiwyg_uploaded/Congressman%20Jimmy%20Panetta%20%28CA-20%29%20Headshot.jpg,U.S. Representative,Washington,California,(202) 225-2861,https://panetta.house.gov/,,RepJimmyPanetta,RepJimmyPanetta
63,Juan Vargas,Democratic Party,http://bioguide.congress.gov/bioguide/photo/V/V000130.jpg,U.S. Representative,Washington,California,(202) 225-8045,https://vargas.house.gov/,,RepJuanVargas,RepJuanVargas
64,Darrell E. Issa,Republican Party,,U.S. Representative,Washington,California,(202) 225-5672,https://issa.house.gov/,,repdarrellissa,congressmandarrellissa
65,Sara Jacobs,Democratic Party,,U.S. Representative,Washington,California,(202) 225-2040,https://sarajacobs.house.gov/,,RepSaraJacobs,RepSaraJacobs
66,Scott H. Peters,Democratic Party,http://bioguide.congress.gov/bioguide/photo/P/P000608.jpg,U.S. Representative,Washington,California,(202) 225-0508,https://scottpeters.house.gov/,,RepScottPeters,RepScottPeters
67,Tony Cárdenas,Democratic Party,http://cardenas.house.gov/sites/cardenas.house.gov/files/headshot%20-%20small.jpg,U.S. Representative,Washington,California,(202) 225-6131,https://cardenas.house.gov/,,RepCardenas,CongressmanCardenas
68,Ted Lieu,Democratic Party,http://bioguide.congress.gov/bioguide/photo/L/L000582.jpg,U.S. Representative,Washington,California,(202) 225-3976,https://lieu.house.gov/,,RepTedLieu,RepTedLieu
69,Grace F. Napolitano,Democratic Party,http://bioguide.congress.gov/bioguide/photo/N/N000179.jpg,U.S. Representative,Washington,California,(202) 225-5256,https://napolitano.house.gov/,,gracenapolitano,RepGraceNapolitano
70,Norma J. Torres,Democratic Party,https://torres.house.gov/sites/torres.house.gov/files/styles/congress_image_thumbnail/public/Official%20Photo.jpg?itok=Jv6Esx0s,U.S. Representative,Washington,California,(202) 225-6161,https://torres.house.gov/,,NormaJTorres,RepNormaTorres
71,Jimmy Gomez,Democratic Party,,U.S. Representative,Washington,California,(202) 225-6235,https://gomez.house.gov/,,RepJimmyGomez,RepJimmyGomez
72,Karen Bass,Democratic Party,http://bass.house.gov/sites/karenbass.house.gov/files/styles/section_front_boilerplate/public/Official%20Photo%202012_0.jpg?itok=7gx9doai,U.S. Representative,Washington,California,(202) 225-7084,https://bass.house.gov/,,RepKarenBass,RepKarenBass
73,Raul Ruiz,Democratic Party,http://bioguide.congress.gov/bioguide/photo/R/R000599.jpg,U.S. Representative,Washington,California,(202) 225-5330,https://ruiz.house.gov/,,RepRaulRuizMD,RepRaulRuizMD
74,Young Kim,Republican Party,,U.S. Representative,Washington,California,(202) 225-4111,https://youngkim.house.gov/,,RepYoungKim,RepYoungKim
75,Linda T. Sánchez,Democratic Party,http://bioguide.congress.gov/bioguide/photo/S/S001156.jpg,U.S. Representative,Washington,California,(202) 225-6676,https://lindasanchez.house.gov/,,RepLindaSanchez,RepLindaSanchez
76,Pete Aguilar,Democratic Party,https://aguilar.house.gov/sites/aguilar.house.gov/files/styles/congress_image_medium/public/wysiwyg_uploaded/Headshot_0.jpg?itok=LSt7qkOV,U.S. Representative,Washington,California,(202) 225-3201,https://aguilar.house.gov/,,RepPeteAguilar,reppeteaguilar
77,Brad Sherman,Democratic Party,http://bioguide.congress.gov/bioguide/photo/S/S000344.jpg,U.S. Representative,Washington,California,(202) 225-5911,https://sherman.house.gov/,brad.sherman@mail.house.gov,BradSherman,CongressmanBradSherman
78,Nanette Diaz Barragán,Democratic Party,https://barragan.house.gov/sites/barragan.house.gov/files/styles/medium/public/wysiwyg_uploaded/rep-barragan.JPG?itok=YJ7pJivD,U.S. Representative,Washington,California,(202) 225-8220,https://barragan.house.gov/,,repbarragan,CongresswomanBarragan
79,Maxine Waters,Democratic Party,http://bioguide.congress.gov/bioguide/photo/W/W000187.jpg,U.S. Representative,Washington,California,(202) 225-2201,https://waters.house.gov/,,RepMaxineWaters,MaxineWaters
80,J. Luis Correa,Democratic Party,,U.S. Representative,Washington,California,(202) 225-2965,https://correa.house.gov/,,RepLouCorrea,RepLouCorrea
81,Katie Porter,Democratic Party,,U.S. Representative,Washington,California,(202) 225-5611,https://porter.house.gov/,,RepKatiePorter,repkatieporter
82,Michelle Steel,Republican Party,,U.S. Representative,Washington,California,(202) 225-2415,https://steel.house.gov/,,RepSteel,RepSteel
83,Alan S. Lowenthal,Democratic Party,http://lowenthal.house.gov/UploadedPhotos/MediumResolution/1fcadddb-5064-497d-8e25-67a72ed3e6a2.jpg,U.S. Representative,Washington,California,(202) 225-7924,https://lowenthal.house.gov/,,RepLowenthal,RepLowenthal
84,Mike Levin,Democratic Party,,U.S. Representative,Washington,California,(202) 225-3906,https://mikelevin.house.gov/,,RepMikeLevin,RepMikeLevin
85,Lucille Roybal-Allard,Democratic Party,http://bioguide.congress.gov/bioguide/photo/R/R000486.jpg,U.S. Representative,Washington,California,(202) 225-1766,https://roybal-allard.house.gov/,,RepRoybalAllard,RepRoybalAllard
86,Ken Calvert,Republican Party,http://bioguide.congress.gov/bioguide/photo/C/C000059.jpg,U.S. Representative,Washington,California,(202) 225-1986,https://calvert.house.gov/,calvertoffice@gmail.com,KenCalvert,RepKenCalvert
