,State,Year,Population,Household Income by Race,Poverty Rate,Dem Margin,Property Value,Median Age,state,state_flag_url,state_seal_url,map_image_url,landscape_background_url,skyline_background_url,twitter_url,governor_name,num_representatives,senator1,senator2,chronically_homeless,diabetes_prevalence
0,Alabama,2018,4887871,49861,0.1680207597755418,-0.2772514660643542,147900,39.3,Alabama,https://cdn.civil.services/us-states/flags/alabama-large.png,https://cdn.civil.services/us-states/seals/alabama-large.png,https://cdn.civil.services/us-states/maps/alabama-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/alabama.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/alabama.jpg,https://twitter.com/alabamagov,Kay Ivey,7,Tommy Tuberville,Richard C. Shelby,344,0.13699999451637268
1,Alaska,2018,737438,74346,0.1090628116897799,-0.1473064078742529,276100,34.9,Alaska,https://cdn.civil.services/us-states/flags/alaska-large.png,https://cdn.civil.services/us-states/seals/alaska-large.png,https://cdn.civil.services/us-states/maps/alaska-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/alaska.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/alaska.jpg,https://twitter.com/alaska,Mike Dunleavy,1,Dan Sullivan,Lisa Murkowski,216,0.07100000232458115
2,Arizona,2018,7171646,59246,0.1402305343851038,-0.0354559462762784,241100,38.0,Arizona,https://cdn.civil.services/us-states/flags/arizona-large.png,https://cdn.civil.services/us-states/seals/arizona-large.png,https://cdn.civil.services/us-states/maps/arizona-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/arizona.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/arizona.jpg,,Doug Ducey,9,Mark Kelly,Kyrsten Sinema,1463,0.0949999988079071
3,Arkansas,2018,3013825,47062,0.1724535865959675,-0.2692097803446736,133100,38.1,Arkansas,https://cdn.civil.services/us-states/flags/arkansas-large.png,https://cdn.civil.services/us-states/seals/arkansas-large.png,https://cdn.civil.services/us-states/maps/arkansas-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/arkansas.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/arkansas.jpg,https://twitter.com/arkansasgov,Asa Hutchinson,4,Tom Cotton,John Boozman,450,0.1289999932050705
4,California,2018,39557045,75277,0.1280145262869046,0.3010929306611845,546800,36.7,California,https://cdn.civil.services/us-states/flags/california-large.png,https://cdn.civil.services/us-states/seals/california-large.png,https://cdn.civil.services/us-states/maps/california-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/california.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/california.jpg,https://twitter.com/cagovernment,Gavin Newsom,53,Dianne Feinstein,Alex Padilla,35798,0.08500000089406967
5,Colorado,2018,5695564,71953,0.0963762009101635,0.0490558301141636,373300,36.9,Colorado,https://cdn.civil.services/us-states/flags/colorado-large.png,https://cdn.civil.services/us-states/seals/colorado-large.png,https://cdn.civil.services/us-states/maps/colorado-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/colorado.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/colorado.jpg,https://twitter.com/coloradogov,Jared Polis,7,Michael F. Bennet,John W. Hickenlooper,2126,0.05999999865889549
6,Connecticut,2018,3572665,76348,0.1041953854133899,0.1363938671789509,277400,41.1,Connecticut,https://cdn.civil.services/us-states/flags/connecticut-large.png,https://cdn.civil.services/us-states/seals/connecticut-large.png,https://cdn.civil.services/us-states/maps/connecticut-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/connecticut.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/connecticut.jpg,,Ned Lamont,5,Christopher Murphy,Richard Blumenthal,387,0.0860000029206276
7,Delaware,2018,967171,64805,0.1246213272731524,0.1143051246631491,255300,41.1,Delaware,https://cdn.civil.services/us-states/flags/delaware-large.png,https://cdn.civil.services/us-states/seals/delaware-large.png,https://cdn.civil.services/us-states/maps/delaware-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/delaware.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/delaware.jpg,https://twitter.com/delaware_gov,John Carney,1,Thomas R. Carper,Christopher A. Coons,123,0.11400000005960464
8,Florida,2018,21299325,55462,0.1360448441148588,-0.0119862561078568,230600,42.2,Florida,https://cdn.civil.services/us-states/flags/florida-large.png,https://cdn.civil.services/us-states/seals/florida-large.png,https://cdn.civil.services/us-states/maps/florida-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/florida.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/florida.jpg,,Ron DeSantis,27,Marco Rubio,Rick Scott,1470,0.07999999821186066
9,Georgia,2018,10519475,58756,0.1434408689107498,-0.0513134269741018,189900,36.8,Georgia,https://cdn.civil.services/us-states/flags/georgia-large.png,https://cdn.civil.services/us-states/seals/georgia-large.png,https://cdn.civil.services/us-states/maps/georgia-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/georgia.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/georgia.jpg,http://twitter.com/georgiagov,Brian Kemp,14,Raphael Warnock,Jon Ossoff,4915,0.10599999874830246
10,Hawaii,2018,1420491,80212,0.0883526903001053,0.3154109088250347,631700,39.3,Hawaii,https://cdn.civil.services/us-states/flags/hawaii-large.png,https://cdn.civil.services/us-states/seals/hawaii-large.png,https://cdn.civil.services/us-states/maps/hawaii-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/hawaii.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/hawaii.jpg,https://twitter.com/ehawaiigov,David Ige,2,Brian Schatz,Mazie K. Hirono,963,0.11299999803304672
11,Idaho,2018,1754208,55583,0.1179604376625652,-0.3176941854821768,233100,36.8,Idaho,https://cdn.civil.services/us-states/flags/idaho-large.png,https://cdn.civil.services/us-states/seals/idaho-large.png,https://cdn.civil.services/us-states/maps/idaho-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/idaho.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/idaho.jpg,https://twitter.com/IDAHOgov,Brad Little,2,James E. Risch,Mike Crapo,1588,0.08799999952316284
12,Illinois,2018,12741080,65030,0.1212512365160202,0.1706361362496802,203400,38.3,Illinois,https://cdn.civil.services/us-states/flags/illinois-large.png,https://cdn.civil.services/us-states/seals/illinois-large.png,https://cdn.civil.services/us-states/maps/illinois-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/illinois.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/illinois.jpg,,J.B. Pritzker,18,Tammy Duckworth,Richard J. Durbin,391,0.0860000029206276
13,Indiana,2018,6691878,55746,0.1313921569805868,-0.1916519376165923,147300,37.8,Indiana,https://cdn.civil.services/us-states/flags/indiana-large.png,https://cdn.civil.services/us-states/seals/indiana-large.png,https://cdn.civil.services/us-states/maps/indiana-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/indiana.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/indiana.jpg,https://twitter.com/in_gov,Eric J. Holcomb,9,Mike Braun,Todd Young,1355,0.09300000220537186
14,Iowa,2018,3156145,59955,0.1124053850551336,-0.0940954789918113,152000,38.1,Iowa,https://cdn.civil.services/us-states/flags/iowa-large.png,https://cdn.civil.services/us-states/seals/iowa-large.png,https://cdn.civil.services/us-states/maps/iowa-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/iowa.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/iowa.jpg,https://twitter.com/IAGOVTWEETS,Kim Reynolds,4,Chuck Grassley,Joni Ernst,486,0.11100000143051147
